1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1736,1.2454,2.6112,1.2496,1.886,1.0499,2.5867,1.1502,0.9455,1.7301,0.9478,0.87803,1.1125,0.79251,1.22,0.88723,0.755,1.3126,1.038,3.941,1.1988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10957,0.12028,0.67377,0.23784,0.082114,0.154,0.35003,0.657,0.26537,0.71524,0.99722,4.891,0.27471,0.48337,0.23054,0.48896,0.31402,0.80513,1.4335,0.12102,0.32265
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23454,0.16451,0.33302,0.1604,0.19107,0.1931,0.23119,0.2486,2.2703,0.24634,0.27623,0.31839,0.16981,0.28084,0.35553,0.29787,0.19401,0.16808,1.1465,0.26312,2.1687
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58242,0.27814,1.3158,0.23761,0.26173,0.23018,0.1667,0.3037,0.21048,0.21953,0.31852,0.29341,0.28087,0.72997,0.23361,0.93943,0.2014,0.25175,0.2224,0.30322,0.27091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6167,0.15359,0.70534,0.20901,0.15515,0.19078,0.19492,0.039963,0.028262,0.0036446,0.16985,0.22776,0.067331,0.12465,0.28949,0.17175,0.48663,0.24355,1.268,0.087245,0.22136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
