1,1,1,1,1,1
0,0,1,1,0,1
0,0,0,0,0,0
2.3115,2.4431,4.0163,8.9833,8.705,1.9794
0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN
2,2,2,2,2,2
1,0,0,0,1,1
0,0,0,0,0,0
1.8401,1.4081,4.1637,1.7131,1.1457,1.3438
0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN
3,3,3,3,3,3
1,0,1,0,1,1
0,0,0,0,0,0
1.2781,3.7931,1.0078,1.1752,2.3469,1.5077
0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN
4,4,4,4,4,4
1,0,1,0,1,1
0,0,0,0,0,0
1.6439,2.9127,1.1421,1.5793,1.2135,1.9127
0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN
5,5,5,5,5,5
1,1,1,1,1,1
0,0,0,0,0,0
1.1465,4.0074,1.2094,14.447,1.4114,0.84666
0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN
1,2,3,4,5,6
